name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Male_sentence_06.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Male_sentence_06.wav	0.2100000000000001	0.2150000000000001	--undefined--	-200	30.63908058359247	782.3840014834909	1688.872424840315	3133.927297153538	4106.983157779276
S1_Male_sentence_06.wav	0.2150000000000001	0.2200000000000001	--undefined--	-200	30.337273791393486	1115.9198683761347	2106.402740685375	3073.1095300621746	4110.522565890355
S1_Male_sentence_06.wav	0.2200000000000001	0.22500000000000012	--undefined--	-200	30.08609597617021	898.1899754633944	1756.4106827148198	2931.1958192930965	4018.922322950609
S1_Male_sentence_06.wav	0.22500000000000012	0.23000000000000012	--undefined--	-200	29.70954745981587	697.4268715516954	1482.2203415178735	2846.6337819196615	3897.5672358299466
S1_Male_sentence_06.wav	0.23000000000000012	0.23500000000000013	--undefined--	-200	29.449579058100397	693.6073809542211	1547.0319360502403	2780.599332025634	3833.4317587640307
S1_Male_sentence_06.wav	0.23500000000000013	0.24000000000000013	--undefined--	-200	29.42620489251846	688.9765272633911	1649.419062745711	2522.846527520906	3934.3619291459877
S1_Male_sentence_06.wav	0.24000000000000013	0.24500000000000013	--undefined--	-200	29.262577402351788	675.8811017447796	1749.031089850489	2745.5811099410153	4030.6518922466216
S1_Male_sentence_06.wav	0.24500000000000013	0.2500000000000001	--undefined--	-200	28.96135981183239	672.7517664174977	1674.5236303322713	2763.6462059787273	4044.7528935927267
S1_Male_sentence_06.wav	0.2500000000000001	0.2550000000000001	--undefined--	-200	28.445177994082183	690.8743224315215	1566.9038419184758	2697.2163065990603	4059.200060724968
S1_Male_sentence_06.wav	0.2550000000000001	0.2600000000000001	--undefined--	-200	28.174216067631065	721.8896007146876	1539.6425780167513	2646.5138485114385	4052.9824693188716
S1_Male_sentence_06.wav	0.2600000000000001	0.2650000000000001	--undefined--	-200	28.125953012310436	738.212419225484	1678.9811139456713	2692.560191771727	3904.6721568349435
S1_Male_sentence_06.wav	0.2650000000000001	0.27000000000000013	--undefined--	-200	27.90563163389903	725.7703092782815	1649.1208832016014	2748.7396655645116	3807.577877766389
S1_Male_sentence_06.wav	0.27000000000000013	0.27500000000000013	--undefined--	-200	27.53240259411745	644.8801143769017	1454.7965741646262	2766.981308860462	3800.8619684055197
S1_Male_sentence_06.wav	0.27500000000000013	0.28000000000000014	--undefined--	-200	26.98312073027922	841.369947528884	1831.566582423863	3141.837931401053	4184.574020025557
S1_Male_sentence_06.wav	0.28000000000000014	0.28500000000000014	--undefined--	-200	26.428692096679185	1228.232328000646	2584.948179412831	3680.1946922306365	4730.449610868469
S1_Male_sentence_06.wav	0.28500000000000014	0.29000000000000015	--undefined--	-200	26.057247116752418	1295.5764794198424	2612.874761866245	3615.618467692782	4694.824638457927
S1_Male_sentence_06.wav	0.29000000000000015	0.29500000000000015	--undefined--	-200	26.21506606447301	728.9327843644227	1742.0284652454116	2952.6797665649315	4234.236328229419
S1_Male_sentence_06.wav	0.29500000000000015	0.30000000000000016	--undefined--	-200	26.352004802256605	576.6862943307116	1563.3301554231225	2789.959198844122	4082.440433053739
S1_Male_sentence_06.wav	0.30000000000000016	0.30500000000000016	--undefined--	-200	26.48854275965347	606.8672095510784	1561.17240608825	2787.366962229411	4017.7693336797774
S1_Male_sentence_06.wav	0.30500000000000016	0.31000000000000016	--undefined--	-200	27.028814397033656	671.6102057159281	1537.2952993592744	2776.342185286687	3936.9359285433666
S1_Male_sentence_06.wav	0.31000000000000016	0.31500000000000017	--undefined--	-200	28.00653644482891	704.5922522662305	1601.6548754718854	2755.644236674904	3852.742107967444
S1_Male_sentence_06.wav	0.31500000000000017	0.3200000000000002	--undefined--	-200	29.47386337946621	931.3707986717145	1833.5894326962728	3274.0124256412637	4406.089609215851
S1_Male_sentence_06.wav	0.3200000000000002	0.3250000000000002	--undefined--	-200	30.010483491102214	797.031319209839	1691.0668873830975	3097.4191875401375	4066.8708952258403
S1_Male_sentence_06.wav	0.3250000000000002	0.3300000000000002	--undefined--	-200	29.95949744304618	664.9573026249049	1553.9072653736978	2849.087599945455	3830.2400537627846
S1_Male_sentence_06.wav	0.3300000000000002	0.3350000000000002	--undefined--	-200	29.722152320948286	661.8925869664204	1538.3588448402518	2759.962040595913	3939.979938656617
S1_Male_sentence_06.wav	0.3350000000000002	0.3400000000000002	--undefined--	-200	29.24328860909531	684.341089446296	1504.501399875013	2679.8407231001815	3908.7839618055937
S1_Male_sentence_06.wav	0.3400000000000002	0.3450000000000002	--undefined--	-200	28.547616934345214	697.2679156624697	1570.6118002553367	2678.8101615974915	3853.6587320535455
S1_Male_sentence_06.wav	0.3450000000000002	0.3500000000000002	--undefined--	-200	27.544506950892057	704.1549575261593	1778.1979652621162	2867.731152019532	3889.4964826023265
S1_Male_sentence_06.wav	0.3500000000000002	0.3550000000000002	--undefined--	-200	27.098590041244417	706.6457911172071	1812.3524736299698	3015.5180553630216	3803.597301771628
S1_Male_sentence_06.wav	0.3550000000000002	0.3600000000000002	--undefined--	-200	27.67678533932289	697.6896301365024	1680.130453339994	3066.668363665927	3776.80787456786
S1_Male_sentence_06.wav	0.3600000000000002	0.3650000000000002	--undefined--	-200	28.554450284851864	661.809656127733	1701.9967496168574	3136.139893807579	4370.887017383878
S1_Male_sentence_06.wav	0.3650000000000002	0.3700000000000002	--undefined--	-200	29.322707006415545	613.9538018504239	1621.7265323275437	2975.469286377628	4224.140406987924
S1_Male_sentence_06.wav	0.3700000000000002	0.3750000000000002	--undefined--	-200	29.302309567047292	579.7961706375058	1597.8513932517103	2903.1043106786974	4036.4326719997825
S1_Male_sentence_06.wav	0.3750000000000002	0.3800000000000002	--undefined--	-200	28.947733740417004	587.872632234648	1620.0552711824848	2892.26077469729	3887.8759963550456
S1_Male_sentence_06.wav	0.3800000000000002	0.38500000000000023	--undefined--	-200	28.41698607909001	644.2599732830039	1661.5174941067683	2917.2891085601364	3776.252097527582
S1_Male_sentence_06.wav	0.38500000000000023	0.39000000000000024	--undefined--	-200	28.254117898442896	732.6031836465178	1679.1952887363861	2953.3800620031375	3620.317436362287
S1_Male_sentence_06.wav	0.39000000000000024	0.39500000000000024	--undefined--	-200	28.081554547203613	630.0498754854923	1683.7712853085081	2982.8775241311478	4038.6970353208435
S1_Male_sentence_06.wav	0.39500000000000024	0.40000000000000024	--undefined--	-200	27.744507774321477	598.389560778067	1509.127095266048	2866.957239220737	4139.073139626744
S1_Male_sentence_06.wav	0.40000000000000024	0.40500000000000025	--undefined--	-200	27.32377247051566	591.1547675101194	1427.4990430686562	2815.362410607456	4130.387549970178
S1_Male_sentence_06.wav	0.40500000000000025	0.41000000000000025	--undefined--	-200	26.966956489172837	596.5254224429815	1503.050389806239	2839.676651786432	4084.4827132074133
S1_Male_sentence_06.wav	0.41000000000000025	0.41500000000000026	--undefined--	-200	26.97570054193052	636.2428936629219	1597.0341404562862	2758.5945559232905	3940.4843639581554
S1_Male_sentence_06.wav	0.41500000000000026	0.42000000000000026	--undefined--	-200	26.634908830298258	676.9154119055192	1620.9124238390873	2654.9330156134106	3838.6614679294507
S1_Male_sentence_06.wav	0.42000000000000026	0.42500000000000027	--undefined--	-200	26.000321631553444	646.897871388755	1673.553800279636	2662.6899051649248	3795.4105308216203
S1_Male_sentence_06.wav	0.42500000000000027	0.43000000000000027	--undefined--	-200	25.757723753610744	620.5646461492462	1678.8369358932655	2650.8946470657233	3790.4289899582463
S1_Male_sentence_06.wav	0.43000000000000027	0.4350000000000003	--undefined--	-200	25.811606292481116	621.4364784175101	1613.3113927688241	2654.5232566660025	3785.5004905715523
S1_Male_sentence_06.wav	0.4350000000000003	0.4400000000000003	--undefined--	-200	26.16908316762727	623.5270049687255	1505.1824720763775	2869.276985039113	3725.1834653381848
S1_Male_sentence_06.wav	0.4400000000000003	0.4450000000000003	--undefined--	-200	27.01258261019068	612.2266927060931	1488.874256492627	2849.9966254816977	3799.0687730316313
S1_Male_sentence_06.wav	0.4450000000000003	0.4500000000000003	--undefined--	-200	28.086921349955638	581.7465699304796	1474.9301501923994	2857.0654649736275	3876.160485907392
S1_Male_sentence_06.wav	0.4500000000000003	0.4550000000000003	--undefined--	-200	29.174824104744392	570.7481603252851	1492.0576068502712	2863.486035225571	3875.67053896556
S1_Male_sentence_06.wav	0.4550000000000003	0.4600000000000003	--undefined--	-200	29.282660931983973	583.3922385666704	1538.2122542770526	2846.023632158057	3834.0570533168643
S1_Male_sentence_06.wav	0.4600000000000003	0.4650000000000003	--undefined--	-200	28.464403669325016	590.1931634044588	1581.2315325312964	2785.2773130174355	3901.8415088597426
S1_Male_sentence_06.wav	0.4650000000000003	0.4700000000000003	--undefined--	-200	27.453315393369234	585.9823255959749	1577.932555743218	2779.9335152125145	3908.254727413215
S1_Male_sentence_06.wav	0.4700000000000003	0.4750000000000003	--undefined--	-200	27.198783230338286	621.91126446476	1559.123016494552	2833.6891029961635	3990.096815283456
S1_Male_sentence_06.wav	0.4750000000000003	0.4800000000000003	--undefined--	-200	28.283444184043347	655.8862665367404	1559.310430531159	2916.9868879090754	4163.851002698599
S1_Male_sentence_06.wav	0.4800000000000003	0.4850000000000003	--undefined--	-200	29.116801151167966	659.8275095848352	1602.3886185623785	2976.6008231992223	4280.218393349603
S1_Male_sentence_06.wav	0.4850000000000003	0.4900000000000003	--undefined--	-200	29.730941111939092	619.3553568202695	1701.3961573631755	2936.1961739119465	4028.977429996886
S1_Male_sentence_06.wav	0.4900000000000003	0.49500000000000033	--undefined--	-200	30.086994529924063	578.3871362215825	1609.4419910473237	2838.2341693516537	3860.080958740928
S1_Male_sentence_06.wav	0.49500000000000033	0.5000000000000003	--undefined--	-200	30.105315284408782	567.9054526008775	1575.1542713699832	2856.632166211874	3861.254157772557
S1_Male_sentence_06.wav	0.5000000000000003	0.5050000000000003	--undefined--	-200	29.918030764793226	523.7489431438696	1539.5916108007275	2891.714662851412	3927.267032746653
S1_Male_sentence_06.wav	0.5050000000000003	0.5100000000000003	--undefined--	-200	30.219578305725086	474.0065243569421	1521.6339578193995	2939.6405656928587	4056.974934485363
S1_Male_sentence_06.wav	0.5100000000000003	0.5150000000000003	--undefined--	-200	30.6819921625252	536.3889268020503	1615.5316714592814	3089.3479117882785	4348.914349204906
S1_Male_sentence_06.wav	0.5150000000000003	0.5200000000000004	--undefined--	-200	31.188605156265375	558.9612029731323	1622.7125350499969	3123.1661541813387	4095.624979912512
S1_Male_sentence_06.wav	0.5200000000000004	0.5250000000000004	--undefined--	-200	31.06207818925488	591.3519608161158	1637.4469024393907	3001.898923359955	3937.0250417869565
S1_Male_sentence_06.wav	0.5250000000000004	0.5300000000000004	--undefined--	-200	30.538686210013523	627.7531649284025	1671.8764595880964	2969.508319292213	3842.0216832835345
S1_Male_sentence_06.wav	0.5300000000000004	0.5350000000000004	--undefined--	-200	29.734931293368025	647.3326678489362	1703.5279512012025	3080.4245473493233	3902.917475603711
S1_Male_sentence_06.wav	0.5350000000000004	0.5400000000000004	--undefined--	-200	29.941932210256585	614.6612913361178	1676.208881293812	3203.6045253029374	4329.69242319909
S1_Male_sentence_06.wav	0.5400000000000004	0.5450000000000004	--undefined--	-200	31.148062410205956	561.0898475215276	1619.8928249513863	2944.1186879554207	3958.02226063817
S1_Male_sentence_06.wav	0.5450000000000004	0.5500000000000004	--undefined--	-200	32.51107653025965	534.8325462218962	1636.4662624739724	3036.537447262527	4094.5915107010005
S1_Male_sentence_06.wav	0.5500000000000004	0.5550000000000004	--undefined--	-200	33.62856844269011	560.9542745329791	1695.8247829299448	3139.043249375607	4314.114042959241
S1_Male_sentence_06.wav	0.5550000000000004	0.5600000000000004	--undefined--	-200	34.20968279738114	610.3006400638916	1757.0534378829873	3107.36934406707	4379.066993010509
S1_Male_sentence_06.wav	0.5600000000000004	0.5650000000000004	--undefined--	-200	34.50391111054371	600.8543610313061	1768.5414922608552	2989.9252162542375	4234.898880532909
S1_Male_sentence_06.wav	0.5650000000000004	0.5700000000000004	--undefined--	-200	34.52927246941477	587.5876673762679	1736.0986870531685	3092.827079858304	4270.586290451163
S1_Male_sentence_06.wav	0.5700000000000004	0.5750000000000004	--undefined--	-200	34.31596121203079	585.444420389633	1724.9173693941716	3138.7365430189852	4326.713734788191
S1_Male_sentence_06.wav	0.5750000000000004	0.5800000000000004	--undefined--	-200	33.88155705572791	566.4458665923352	1681.6461459022314	3082.487851612942	4284.103324287769
S1_Male_sentence_06.wav	0.5800000000000004	0.5850000000000004	--undefined--	-200	33.278423267696844	556.6494985774762	1628.6780087774594	2944.7300589353777	4128.848860953256
S1_Male_sentence_06.wav	0.5850000000000004	0.5900000000000004	--undefined--	-200	32.67645164270038	634.5802543821161	1662.1026918636383	2811.067921952214	3950.6091486568594
S1_Male_sentence_06.wav	0.5900000000000004	0.5950000000000004	--undefined--	-200	32.23775145287077	695.6502387462006	1705.8366133535105	2956.0258675402533	4153.944042432444
S1_Male_sentence_06.wav	0.5950000000000004	0.6000000000000004	--undefined--	-200	32.06747905894265	707.9192408723515	1664.1702793090476	2984.5021199892794	4049.390239223478
S1_Male_sentence_06.wav	0.6000000000000004	0.6050000000000004	--undefined--	-200	32.03113214012069	701.0171153863521	1603.7311795469225	2916.7260732229815	3969.1896734085262
S1_Male_sentence_06.wav	0.6050000000000004	0.6100000000000004	--undefined--	-200	32.12515934207718	683.7529944903058	1588.5847888964372	2841.0426228398983	4073.255758213962
S1_Male_sentence_06.wav	0.6100000000000004	0.6150000000000004	--undefined--	-200	32.35833922291657	644.8175045908791	1680.0801715617217	2912.2407079334394	4353.030558459563
S1_Male_sentence_06.wav	0.6150000000000004	0.6200000000000004	--undefined--	-200	32.63202564665563	620.9011916357641	1698.405002234238	2997.9651905421815	4377.081745065903
S1_Male_sentence_06.wav	0.6200000000000004	0.6250000000000004	--undefined--	-200	32.81872567389655	618.864811360027	1645.0934270724074	2950.012224031649	4117.677007929174
S1_Male_sentence_06.wav	0.6250000000000004	0.6300000000000004	--undefined--	-200	32.407565984045256	654.1077279963606	1600.0682465555012	2875.7178360382272	3989.513786646055
S1_Male_sentence_06.wav	0.6300000000000004	0.6350000000000005	--undefined--	-200	31.54968189635935	704.208468894292	1597.969116962807	2826.2096326220158	4086.9851476869903
S1_Male_sentence_06.wav	0.6350000000000005	0.6400000000000005	--undefined--	-200	30.28050692811641	709.8142821763381	1629.4123008862557	2797.971404536478	4191.963675724575
S1_Male_sentence_06.wav	0.6400000000000005	0.6450000000000005	--undefined--	-200	29.57633952319612	683.2824320274241	1711.994049901561	2749.102986036124	4069.1697782731167
S1_Male_sentence_06.wav	0.6450000000000005	0.6500000000000005	--undefined--	-200	29.535357421654886	681.6434082718259	1742.0671085795473	2867.7006311592886	4101.972421185799
S1_Male_sentence_06.wav	0.6500000000000005	0.6550000000000005	--undefined--	-200	30.511508796289608	669.7423707925534	1695.004908426482	2945.037848259443	4152.337871486644
S1_Male_sentence_06.wav	0.6550000000000005	0.6600000000000005	--undefined--	-200	31.44270321963948	641.5730948964053	1608.6483397417962	2938.806293210226	4139.066076352484
S1_Male_sentence_06.wav	0.6600000000000005	0.6650000000000005	--undefined--	-200	32.07250012210168	619.603823597366	1581.8265501978879	2968.5816350816904	4036.355464735404
S1_Male_sentence_06.wav	0.6650000000000005	0.6700000000000005	--undefined--	-200	31.90760719704158	643.6378644293222	1563.402771689718	2950.442648460529	3962.78619041508
S1_Male_sentence_06.wav	0.6700000000000005	0.6750000000000005	--undefined--	-200	31.252864632812024	604.063074774813	1612.7393776377774	2952.23700943103	4102.845009547077
S1_Male_sentence_06.wav	0.6750000000000005	0.6800000000000005	--undefined--	-200	30.223410237941064	564.9079943051787	1631.6301796877362	2924.266266090567	4097.208344790696
S1_Male_sentence_06.wav	0.6800000000000005	0.6850000000000005	--undefined--	-200	29.06033369693981	562.9697084654388	1587.1515923482557	2887.9476682054456	3914.3737333962013
