name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S1_Female_sentence_07.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S1_Female_sentence_07.wav	0.4400000000000003	0.4450000000000003	--undefined--	-200	28.02534819519057	648.9925068442567	2384.7345521304023	3944.0009980457003	4774.9438838093565
S1_Female_sentence_07.wav	0.4450000000000003	0.4500000000000003	--undefined--	-200	26.99015189469502	1065.3450503616357	2411.045763669745	3955.907975156194	4935.046469659584
S1_Female_sentence_07.wav	0.4500000000000003	0.4550000000000003	--undefined--	-200	26.44187933222478	1265.800435172189	2452.157720996866	3680.381504660972	4767.55822166567
S1_Female_sentence_07.wav	0.4550000000000003	0.4600000000000003	--undefined--	-200	25.808098593473833	1216.368766604395	2369.060035628686	3432.895198255066	4664.435489822666
S1_Female_sentence_07.wav	0.4600000000000003	0.4650000000000003	--undefined--	-200	25.065629854687142	1117.1661237661172	2265.715258716243	3290.343320618452	4602.258798807803
S1_Female_sentence_07.wav	0.4650000000000003	0.4700000000000003	--undefined--	-200	24.66477544531754	981.80004197875	2133.735029523827	3217.345906189294	4531.4487100464185
S1_Female_sentence_07.wav	0.4700000000000003	0.4750000000000003	--undefined--	-200	24.500541732766916	456.5333087691752	1731.8954093436844	3003.157521394678	4394.771852669389
S1_Female_sentence_07.wav	0.4750000000000003	0.4800000000000003	--undefined--	-200	24.55026110917932	416.25893246492063	1827.479161833331	2960.5252220839907	4241.128211806209
S1_Female_sentence_07.wav	0.4800000000000003	0.4850000000000003	--undefined--	-200	24.577761572739394	381.91723209713086	1914.8084512427336	2883.5690848141594	4229.825361766495
S1_Female_sentence_07.wav	0.4850000000000003	0.4900000000000003	--undefined--	-200	24.622452722026004	504.8772825308015	2058.1958918891105	2849.628316864152	4272.326587240175
S1_Female_sentence_07.wav	0.4900000000000003	0.49500000000000033	--undefined--	-200	24.728189363638805	694.9691074537055	2171.35130409661	2858.0504189765525	4266.034921972593
S1_Female_sentence_07.wav	0.49500000000000033	0.5000000000000003	--undefined--	-200	25.02888014291798	359.9587564157121	1829.3557094691214	2740.7001165174265	4100.376155851668
S1_Female_sentence_07.wav	0.5000000000000003	0.5050000000000003	--undefined--	-200	25.59106599119481	1337.9473425596848	2600.9084124301044	3615.8152722387877	4853.95415597082
S1_Female_sentence_07.wav	0.5050000000000003	0.5100000000000003	--undefined--	-200	26.68456306397357	1627.9172708663382	2999.51616051988	4000.7937481504414	5053.9521217941265
S1_Female_sentence_07.wav	0.5100000000000003	0.5150000000000003	--undefined--	-200	27.99689251991198	1561.1207532430276	3069.532165287763	3916.9053314458297	4817.914662076213
S1_Female_sentence_07.wav	0.5150000000000003	0.5200000000000004	--undefined--	-200	29.29861390382803	1459.5798673436236	2926.4762146380085	3568.705417388204	4447.916722394049
S1_Female_sentence_07.wav	0.5200000000000004	0.5250000000000004	--undefined--	-200	31.788751667428386	1396.9819093893043	2643.530002368233	3323.945202646842	4417.585346662081
S1_Female_sentence_07.wav	0.5250000000000004	0.5300000000000004	--undefined--	-200	34.64983409136384	1262.2836460574722	1811.0364729016237	2954.3329933774617	4018.6089204382233
S1_Female_sentence_07.wav	0.5300000000000004	0.5350000000000004	--undefined--	-200	36.55218883345015	1137.683918044729	1557.592857188435	2814.5355396888017	3798.0326486360964
S1_Female_sentence_07.wav	0.5350000000000004	0.5400000000000004	--undefined--	-200	36.743213265535594	988.3436737902219	1561.3553496381878	2812.1340295650034	3715.3997639375134
S1_Female_sentence_07.wav	0.5400000000000004	0.5450000000000004	--undefined--	-200	35.06414896896237	797.3562154689637	1569.014656015663	2851.3699376455484	3712.141865347232
S1_Female_sentence_07.wav	0.5450000000000004	0.5500000000000004	--undefined--	-200	31.56205878516798	588.1850876007325	1593.1043957690356	2876.908965602192	3762.0802496682836
S1_Female_sentence_07.wav	0.5500000000000004	0.5550000000000004	--undefined--	-200	28.174730191245708	546.2832584702674	1585.9525299437512	2909.4522767386356	3925.930758542
S1_Female_sentence_07.wav	0.5550000000000004	0.5600000000000004	--undefined--	-200	26.256592763566164	1124.1181484932274	2149.432803338247	2878.5086351227296	4050.5966398295936
S1_Female_sentence_07.wav	0.5600000000000004	0.5650000000000004	--undefined--	-200	25.870531653445948	1569.0118617136454	2559.426256028427	3055.2300917829034	4249.25844464799
S1_Female_sentence_07.wav	0.5650000000000004	0.5700000000000004	--undefined--	-200	26.639091228805047	1509.5029160762715	2467.5114298304725	3413.6844838029315	4511.588133799993
S1_Female_sentence_07.wav	0.5700000000000004	0.5750000000000004	--undefined--	-200	27.969497289039293	1335.7478420474738	2290.089584520285	3366.4064599841313	4580.04507580931
S1_Female_sentence_07.wav	0.5750000000000004	0.5800000000000004	--undefined--	-200	29.44194461742213	1432.0560194638165	2272.4823721911353	3148.720937881972	4571.6401627709
S1_Female_sentence_07.wav	0.5800000000000004	0.5850000000000004	--undefined--	-200	30.842960470724563	1548.632369724533	2506.687392453794	3397.8046454159676	4941.4290321392755
S1_Female_sentence_07.wav	0.5850000000000004	0.5900000000000004	--undefined--	-200	31.634039559088826	1622.9245972286537	2710.6473776545513	3749.4268488158455	4965.131588120498
S1_Female_sentence_07.wav	0.5900000000000004	0.5950000000000004	--undefined--	-200	31.842072633984966	1583.10691443819	2685.7286219953044	3833.455127289793	4471.1026102998485
S1_Female_sentence_07.wav	0.5950000000000004	0.6000000000000004	--undefined--	-200	31.442441420402584	1308.6533343053902	2396.7900144529945	3335.4085947715917	4364.610162784641
S1_Female_sentence_07.wav	0.6000000000000004	0.6050000000000004	--undefined--	-200	29.829588141726557	1674.7308405661493	2099.208352007299	3410.6064039119406	4302.006676681709
S1_Female_sentence_07.wav	0.6050000000000004	0.6100000000000004	--undefined--	-200	27.752902956038607	1134.1030661124294	1871.782765141667	3131.365169159873	4065.3040066586113
S1_Female_sentence_07.wav	0.6100000000000004	0.6150000000000004	--undefined--	-200	26.469595811513507	1009.5827189479447	2132.50965965912	3250.12878254695	4299.881389422001
S1_Female_sentence_07.wav	0.6150000000000004	0.6200000000000004	--undefined--	-200	26.64666213593368	1670.583011449616	2725.8094031162577	3818.469678475409	4929.3453571831
S1_Female_sentence_07.wav	0.6200000000000004	0.6250000000000004	--undefined--	-200	28.0083234663482	1535.718160144436	2439.7634178886647	3479.300215679731	4504.964874367209
S1_Female_sentence_07.wav	0.6250000000000004	0.6300000000000004	--undefined--	-200	27.400122399419075	801.840822663808	2168.5465581798603	3155.477883551276	4212.326963825651
S1_Female_sentence_07.wav	0.6300000000000004	0.6350000000000005	--undefined--	-200	25.493129349885823	909.1490153255495	2179.4851096446696	3194.7468991648034	4277.578923553338
S1_Female_sentence_07.wav	0.6350000000000005	0.6400000000000005	--undefined--	-200	22.33656912959205	1205.8389039742895	2305.925117449692	3378.2171974880957	4412.941701127153
S1_Female_sentence_07.wav	0.6400000000000005	0.6450000000000005	--undefined--	-200	20.71975966766352	1181.3572654678032	2366.3855834287688	3371.652491900962	4369.110172110558
