name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S2_Female_sentence_09.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.5200000000000004	0.5250000000000004	--undefined--	-200	62.37103459699266	1835.2799493094758	2430.7811235987156	3752.425836933518	5109.369277592976
S2_Female_sentence_09.wav	0.5250000000000004	0.5300000000000004	--undefined--	-200	62.67122430364685	1829.0649124856127	2644.100927171561	3993.6216167018297	5016.053665520697
S2_Female_sentence_09.wav	0.5300000000000004	0.5350000000000004	--undefined--	-200	63.40399916400755	1846.0611494271127	2868.603975671764	4243.828182279543	4925.981644242398
S2_Female_sentence_09.wav	0.5350000000000004	0.5400000000000004	--undefined--	-200	63.5428366665158	1766.5044312458858	2877.59987160196	4302.568072876289	--undefined--
S2_Female_sentence_09.wav	0.5400000000000004	0.5450000000000004	--undefined--	-200	63.01633713035915	876.9190185213045	2050.3778796795964	3193.3407619455347	4250.090895948473
S2_Female_sentence_09.wav	0.5450000000000004	0.5500000000000004	--undefined--	-200	61.94347345325936	288.9751695987246	1969.9070123786914	3025.9813872768914	4209.665920935825
S2_Female_sentence_09.wav	0.5500000000000004	0.5550000000000004	--undefined--	-200	60.98435219449491	219.33674266821987	1971.696597543849	3012.4692534978312	4211.305564606402
S2_Female_sentence_09.wav	0.5550000000000004	0.5600000000000004	--undefined--	-200	60.49497782165794	836.9252970071032	2337.1838700061403	3423.1303331355202	4228.915553833368
S2_Female_sentence_09.wav	0.5600000000000004	0.5650000000000004	--undefined--	-200	61.143401226289114	1935.7862805175857	3143.0074362127984	4328.5405026208355	--undefined--
S2_Female_sentence_09.wav	0.5650000000000004	0.5700000000000004	--undefined--	-200	62.1903943943222	1921.5557143645399	2992.6088260964407	4281.20042895023	--undefined--
S2_Female_sentence_09.wav	0.5700000000000004	0.5750000000000004	--undefined--	-200	62.637383079760724	1125.8690412685153	2243.269885826544	3539.367675716757	4488.214281710383
S2_Female_sentence_09.wav	0.5750000000000004	0.5800000000000004	--undefined--	-200	62.86700476767042	1030.5056769859038	1941.6021477290112	3291.77063488234	4470.833237446605
S2_Female_sentence_09.wav	0.5800000000000004	0.5850000000000004	--undefined--	-200	63.02928267427181	1209.933212658914	1938.2508100189073	3338.0246547731886	4572.917266177615
S2_Female_sentence_09.wav	0.5850000000000004	0.5900000000000004	--undefined--	-200	63.92486946795342	1166.7204727340675	1939.1756695974373	3334.622340141669	4840.298827751581
S2_Female_sentence_09.wav	0.5900000000000004	0.5950000000000004	--undefined--	-200	64.06626188052506	1562.1119777120277	1986.539557980394	3420.345305117854	4850.474452686176
S2_Female_sentence_09.wav	0.5950000000000004	0.6000000000000004	--undefined--	-200	62.758496218070476	1816.4073203952207	1963.6616723329519	3479.718504559573	4939.448195936261
S2_Female_sentence_09.wav	0.6000000000000004	0.6050000000000004	--undefined--	-200	61.220244024704705	1616.9020590745745	1959.5213082432797	3419.1038422540055	4835.956369967467
S2_Female_sentence_09.wav	0.6050000000000004	0.6100000000000004	--undefined--	-200	60.437572287109674	1340.3768492080246	1995.2968606497877	3376.994563106902	4684.4388569881585
S2_Female_sentence_09.wav	0.6100000000000004	0.6150000000000004	--undefined--	-200	62.298064819407614	1361.8155001168998	2067.299899893562	3446.4603135778107	4644.889408189774
S2_Female_sentence_09.wav	0.6150000000000004	0.6200000000000004	--undefined--	-200	63.04172195398467	1535.7739743913448	2126.7236868987175	3363.810272107148	4630.652906583909
S2_Female_sentence_09.wav	0.6200000000000004	0.6250000000000004	--undefined--	-200	62.53485996568073	1345.6734632178975	2094.2956059270587	3203.044091420436	4564.662617739522
S2_Female_sentence_09.wav	0.6250000000000004	0.6300000000000004	--undefined--	-200	62.100097307770255	1301.724730525772	2046.548743107084	3181.5922518035723	4458.45699738786
